"","Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"38","US National","Season peak week","Bin","week","41","42",4.27086230466152e-10
"39","US National","Season peak week","Bin","week","42","43",7.31500249920252e-09
"40","US National","Season peak week","Bin","week","43","44",1.00624427373668e-07
"41","US National","Season peak week","Bin","week","44","45",1.11184527569421e-06
"42","US National","Season peak week","Bin","week","45","46",9.86957737746716e-06
"43","US National","Season peak week","Bin","week","46","47",7.0392410582599e-05
"44","US National","Season peak week","Bin","week","47","48",0.000403444399934857
"45","US National","Season peak week","Bin","week","48","49",0.00185834518248972
"46","US National","Season peak week","Bin","week","49","50",0.00688024719943396
"47","US National","Season peak week","Bin","week","50","51",0.0204767823594985
"48","US National","Season peak week","Bin","week","51","52",0.0489935054051971
"49","US National","Season peak week","Bin","week","52","53",0.0942468417187139
"50","US National","Season peak week","Bin","week","1","2",0.145771129212187
"51","US National","Season peak week","Bin","week","2","3",0.181288222301992
"52","US National","Season peak week","Bin","week","3","4",0.181288222301992
"53","US National","Season peak week","Bin","week","4","5",0.145771129212187
"54","US National","Season peak week","Bin","week","5","6",0.0942468417187139
"55","US National","Season peak week","Bin","week","6","7",0.0489935054051971
"56","US National","Season peak week","Bin","week","7","8",0.0204767823594985
"57","US National","Season peak week","Bin","week","8","9",0.00688024719943392
"58","US National","Season peak week","Bin","week","9","10",0.00185834518248973
"59","US National","Season peak week","Bin","week","10","11",0.000403444399934894
"60","US National","Season peak week","Bin","week","11","12",7.03924105825982e-05
"61","US National","Season peak week","Bin","week","12","13",9.86957737747485e-06
"62","US National","Season peak week","Bin","week","13","14",1.11184527573638e-06
"63","US National","Season peak week","Bin","week","14","15",1.00624427346041e-07
"64","US National","Season peak week","Bin","week","15","16",7.31500249262496e-09
"65","US National","Season peak week","Bin","week","16","17",4.27086255250231e-10
"66","US National","Season peak week","Bin","week","17","18",2.00236494052319e-11
"67","US National","Season peak week","Bin","week","18","19",7.53841433720481e-13
"68","US National","Season peak week","Bin","week","19","20",2.27595720048157e-14
"69","US National","Season peak week","Bin","week","20","21",5.55111512312578e-16
"70","US National","Season peak percentage","Point","percent",NA,NA,4.60011476295291
"71","US National","Season peak percentage","Bin","percent","0","0.1",6.89776608635306e-06
"72","US National","Season peak percentage","Bin","percent","0.1","0.2",1.00109200694362e-05
"73","US National","Season peak percentage","Bin","percent","0.2","0.3",1.44093641215314e-05
"74","US National","Season peak percentage","Bin","percent","0.3","0.4",2.05693671447459e-05
"75","US National","Season peak percentage","Bin","percent","0.4","0.5",2.91207352858105e-05
"76","US National","Season peak percentage","Bin","percent","0.5","0.6",4.08873568152751e-05
"77","US National","Season peak percentage","Bin","percent","0.6","0.7",5.69352235145643e-05
"78","US National","Season peak percentage","Bin","percent","0.7","0.8",7.86281971969005e-05
"79","US National","Season peak percentage","Bin","percent","0.8","0.9",0.000107691369953781
"80","US National","Season peak percentage","Bin","percent","0.9","1",0.00014628128984943
"81","US National","Season peak percentage","Bin","percent","1","1.1",0.000197061578410669
"82","US National","Season peak percentage","Bin","percent","1.1","1.2",0.000263281552441985
"83","US National","Season peak percentage","Bin","percent","1.2","1.3",0.000348854396723476
"84","US National","Season peak percentage","Bin","percent","1.3","1.4",0.000458430252855285
"85","US National","Season peak percentage","Bin","percent","1.4","1.5",0.000597458353817797
"86","US National","Season peak percentage","Bin","percent","1.5","1.6",0.000772231130790612
"87","US National","Season peak percentage","Bin","percent","1.6","1.7",0.00098990216142094
"88","US National","Season peak percentage","Bin","percent","1.7","1.8",0.00125846905278939
"89","US National","Season peak percentage","Bin","percent","1.8","1.9",0.00158671200944724
"90","US National","Season peak percentage","Bin","percent","1.9","2",0.00198407908397416
"91","US National","Season peak percentage","Bin","percent","2","2.1",0.00246051009212176
"92","US National","Season peak percentage","Bin","percent","2.1","2.2",0.00302619301739519
"93","US National","Season peak percentage","Bin","percent","2.2","2.3",0.00369124950492389
"94","US National","Season peak percentage","Bin","percent","2.3","2.4",0.00446534975936413
"95","US National","Season peak percentage","Bin","percent","2.4","2.5",0.00535726174009152
"96","US National","Season peak percentage","Bin","percent","2.5","2.6",0.00637434481608823
"97","US National","Season peak percentage","Bin","percent","2.6","2.7",0.00752200372767655
"98","US National","Season peak percentage","Bin","percent","2.7","2.8",0.00880312443012099
"99","US National","Season peak percentage","Bin","percent","2.8","2.9",0.0102175187112124
"100","US National","Season peak percentage","Bin","percent","2.9","3",0.0117614088741471
"101","US National","Season peak percentage","Bin","percent","3","3.1",0.0134269867373517
"102","US National","Season peak percentage","Bin","percent","3.1","3.2",0.0152020822379436
"103","US National","Season peak percentage","Bin","percent","3.2","3.3",0.0170699756365681
"104","US National","Season peak percentage","Bin","percent","3.3","3.4",0.0190093834505078
"105","US National","Season peak percentage","Bin","percent","3.4","3.5",0.0209946417186944
"106","US National","Season peak percentage","Bin","percent","3.5","3.6",0.0229961011774177
"107","US National","Season peak percentage","Bin","percent","3.6","3.7",0.0249807377869506
"108","US National","Season peak percentage","Bin","percent","3.7","3.8",0.0269129694149377
"109","US National","Season peak percentage","Bin","percent","3.8","3.9",0.0287556561686201
"110","US National","Season peak percentage","Bin","percent","3.9","4",0.0304712488341129
"111","US National","Season peak percentage","Bin","percent","4","4.1",0.0320230381532411
"112","US National","Season peak percentage","Bin","percent","4.1","4.2",0.0333764482499074
"113","US National","Season peak percentage","Bin","percent","4.2","4.3",0.0345003112932341
"114","US National","Season peak percentage","Bin","percent","4.3","4.4",0.0353680581291295
"115","US National","Season peak percentage","Bin","percent","4.4","4.5",0.0359587615159314
"116","US National","Season peak percentage","Bin","percent","4.5","4.6",0.0362579748174086
"117","US National","Season peak percentage","Bin","percent","4.6","4.7",0.0362583192345168
"118","US National","Season peak percentage","Bin","percent","4.7","4.8",0.0359597862502447
"119","US National","Season peak percentage","Bin","percent","4.8","4.9",0.0353697379796779
"120","US National","Season peak percentage","Bin","percent","4.9","5",0.0345026054051814
"121","US National","Season peak percentage","Bin","percent","5","5.1",0.0333793017658936
"122","US National","Season peak percentage","Bin","percent","5.1","5.2",0.0320263843927911
"123","US National","Season peak percentage","Bin","percent","5.2","5.3",0.0304750118802716
"124","US National","Season peak percentage","Bin","percent","5.3","5.4",0.0287597537219154
"125","US National","Season peak percentage","Bin","percent","5.4","5.5",0.0269173157653782
"126","US National","Season peak percentage","Bin","percent","5.5","5.6",0.0249852467553763
"127","US National","Season peak percentage","Bin","percent","5.6","5.7",0.0230006888875549
"128","US National","Season peak percentage","Bin","percent","5.7","5.8",0.0209992290795194
"129","US National","Season peak percentage","Bin","percent","5.8","5.9",0.0190138982531597
"130","US National","Season peak percentage","Bin","percent","5.9","6",0.0170743541988485
"131","US National","Season peak percentage","Bin","percent","6","6.1",0.015206270560075
"132","US National","Season peak percentage","Bin","percent","6.1","6.2",0.0134309411627864
"133","US National","Season peak percentage","Bin","percent","6.2","6.3",0.0117650962767807
"134","US National","Season peak percentage","Bin","percent","6.3","6.4",0.0102209162537032
"135","US National","Season peak percentage","Bin","percent","6.4","6.5",0.00880621895596016
"136","US National","Season peak percentage","Bin","percent","6.5","6.6",0.00752479086160907
"137","US National","Season peak percentage","Bin","percent","6.6","6.7",0.00637682785334564
"138","US National","Season peak percentage","Bin","percent","6.7","6.8",0.00535945040506444
"139","US National","Season peak percentage","Bin","percent","6.8","6.9",0.00446725890958906
"140","US National","Season peak percentage","Bin","percent","6.9","7",0.00369289784762191
"141","US National","Season peak percentage","Bin","percent","7","7.1",0.00302760189444891
"142","US National","Season peak percentage","Bin","percent","7.1","7.2",0.00246170237651906
"143","US National","Season peak percentage","Bin","percent","7.2","7.3",0.00198507821748573
"144","US National","Season peak percentage","Bin","percent","7.3","7.4",0.00158754119861467
"145","US National","Season peak percentage","Bin","percent","7.4","7.5",0.00125915062890382
"146","US National","Season peak percentage","Bin","percent","7.5","7.6",0.000990457100611212
"147","US National","Season peak percentage","Bin","percent","7.6","7.7",0.000772678722876114
"148","US National","Season peak percentage","Bin","percent","7.7","7.8",0.000597816003293449
"149","US National","Season peak percentage","Bin","percent","7.8","7.9",0.000458713392171828
"150","US National","Season peak percentage","Bin","percent","7.9","8",0.000349076490661564
"151","US National","Season peak percentage","Bin","percent","8","8.1",0.000263454172544945
"152","US National","Season peak percentage","Bin","percent","8.1","8.2",0.000197194527787377
"153","US National","Season peak percentage","Bin","percent","8.2","8.3",0.000146382760814723
"154","US National","Season peak percentage","Bin","percent","8.3","8.4",0.00010776811961497
"155","US National","Season peak percentage","Bin","percent","8.4","8.5",7.86857289351867e-05
"156","US National","Season peak percentage","Bin","percent","8.5","8.6",5.69779651098694e-05
"157","US National","Season peak percentage","Bin","percent","8.6","8.7",4.09188285595486e-05
"158","US National","Season peak percentage","Bin","percent","8.7","8.8",2.91437037174739e-05
"159","US National","Season peak percentage","Bin","percent","8.8","8.9",2.0585981937299e-05
"160","US National","Season peak percentage","Bin","percent","8.9","9",1.44212771805561e-05
"161","US National","Season peak percentage","Bin","percent","9","9.1",1.00193870268348e-05
"162","US National","Season peak percentage","Bin","percent","9.1","9.2",6.90373118177768e-06
"163","US National","Season peak percentage","Bin","percent","9.2","9.3",4.71771696656533e-06
"164","US National","Season peak percentage","Bin","percent","9.3","9.4",3.19731320895944e-06
"165","US National","Season peak percentage","Bin","percent","9.4","9.5",2.14903639268941e-06
"166","US National","Season peak percentage","Bin","percent","9.5","9.6",1.43254293193234e-06
"167","US National","Season peak percentage","Bin","percent","9.6","9.7",9.47058506951888e-07
"168","US National","Season peak percentage","Bin","percent","9.7","9.8",6.20942318712102e-07
"169","US National","Season peak percentage","Bin","percent","9.8","9.9",4.03767160700159e-07
"170","US National","Season peak percentage","Bin","percent","9.9","10",2.60385030731826e-07
"171","US National","Season peak percentage","Bin","percent","10","10.1",1.66535304918464e-07
"172","US National","Season peak percentage","Bin","percent","10.1","10.2",1.05633556614661e-07
"173","US National","Season peak percentage","Bin","percent","10.2","10.3",6.64511910784258e-08
"174","US National","Season peak percentage","Bin","percent","10.3","10.4",4.14580546468355e-08
"175","US National","Season peak percentage","Bin","percent","10.4","10.5",2.56519477737908e-08
"176","US National","Season peak percentage","Bin","percent","10.5","10.6",1.57411715623152e-08
"177","US National","Season peak percentage","Bin","percent","10.6","10.7",9.57985734047593e-09
"178","US National","Season peak percentage","Bin","percent","10.7","10.8",5.7821094023992e-09
"179","US National","Season peak percentage","Bin","percent","10.8","10.9",3.46113742814348e-09
"180","US National","Season peak percentage","Bin","percent","10.9","11",2.0547389433393e-09
"181","US National","Season peak percentage","Bin","percent","11","11.1",1.20976143585098e-09
"182","US National","Season peak percentage","Bin","percent","11.1","11.2",7.06395730776938e-10
"183","US National","Season peak percentage","Bin","percent","11.2","11.3",4.0907390550686e-10
"184","US National","Season peak percentage","Bin","percent","11.3","11.4",2.34941951063162e-10
"185","US National","Season peak percentage","Bin","percent","11.4","11.5",1.33821183990569e-10
"186","US National","Season peak percentage","Bin","percent","11.5","11.6",7.55952680534211e-11
"187","US National","Season peak percentage","Bin","percent","11.6","11.7",4.23515002929425e-11
"188","US National","Season peak percentage","Bin","percent","11.7","11.8",2.35313992067091e-11
"189","US National","Season peak percentage","Bin","percent","11.8","11.9",1.29669224150545e-11
"190","US National","Season peak percentage","Bin","percent","11.9","12",7.08632084683872e-12
"191","US National","Season peak percentage","Bin","percent","12","12.1",3.84075991939992e-12
"192","US National","Season peak percentage","Bin","percent","12.1","12.2",2.06459997286122e-12
"193","US National","Season peak percentage","Bin","percent","12.2","12.3",1.10057966933605e-12
"194","US National","Season peak percentage","Bin","percent","12.3","12.4",5.8187612700396e-13
"195","US National","Season peak percentage","Bin","percent","12.4","12.5",3.05093607518962e-13
"196","US National","Season peak percentage","Bin","percent","12.5","12.6",1.58653116864846e-13
"197","US National","Season peak percentage","Bin","percent","12.6","12.7",8.18245956118905e-14
"198","US National","Season peak percentage","Bin","percent","12.7","12.8",4.18560007404108e-14
"199","US National","Season peak percentage","Bin","percent","12.8","12.9",2.12055600568129e-14
"200","US National","Season peak percentage","Bin","percent","12.9","13",1.07693158403709e-14
"201","US National","Season peak percentage","Bin","percent","13","100",1.04362442164419e-14
"202","US National","1 wk ahead","Point","percent",NA,NA,1.8506916569989
"203","US National","1 wk ahead","Bin","percent","0","0.1",2.08886826126277e-53
"204","US National","1 wk ahead","Bin","percent","0.1","0.2",1.2972497601557e-44
"205","US National","1 wk ahead","Bin","percent","0.2","0.3",2.96954976543156e-37
"206","US National","1 wk ahead","Bin","percent","0.3","0.4",4.61663709794359e-31
"207","US National","1 wk ahead","Bin","percent","0.4","0.5",7.78780812056748e-26
"208","US National","1 wk ahead","Bin","percent","0.5","0.6",2.05520275139838e-21
"209","US National","1 wk ahead","Bin","percent","0.6","0.7",1.13423090566348e-17
"210","US National","1 wk ahead","Bin","percent","0.7","0.8",1.65323461260823e-14
"211","US National","1 wk ahead","Bin","percent","0.8","0.9",7.69536160420224e-12
"212","US National","1 wk ahead","Bin","percent","0.9","1",1.33695864096219e-09
"213","US National","1 wk ahead","Bin","percent","1","1.1",9.86483350889835e-08
"214","US National","1 wk ahead","Bin","percent","1.1","1.2",3.4474749044678e-06
"215","US National","1 wk ahead","Bin","percent","1.2","1.3",6.32793904765012e-05
"216","US National","1 wk ahead","Bin","percent","1.3","1.4",0.000696830812248081
"217","US National","1 wk ahead","Bin","percent","1.4","1.5",0.00539181469526198
"218","US National","1 wk ahead","Bin","percent","1.5","1.6",0.0301402965398001
"219","US National","1 wk ahead","Bin","percent","1.6","1.7",0.107475635448031
"220","US National","1 wk ahead","Bin","percent","1.7","1.8",0.223842735762536
"221","US National","1 wk ahead","Bin","percent","1.8","1.9",0.271801521909008
"222","US National","1 wk ahead","Bin","percent","1.9","2",0.202545668525208
"223","US National","1 wk ahead","Bin","percent","2","2.1",0.101367971628417
"224","US National","1 wk ahead","Bin","percent","2.1","2.2",0.0386693852338063
"225","US National","1 wk ahead","Bin","percent","2.2","2.3",0.012773798514356
"226","US National","1 wk ahead","Bin","percent","2.3","2.4",0.00386556887995625
"227","US National","1 wk ahead","Bin","percent","2.4","2.5",0.00105097587111842
"228","US National","1 wk ahead","Bin","percent","2.5","2.6",0.00024919079533663
"229","US National","1 wk ahead","Bin","percent","2.6","2.7",5.10536042353362e-05
"230","US National","1 wk ahead","Bin","percent","2.7","2.8",9.08384788589119e-06
"231","US National","1 wk ahead","Bin","percent","2.8","2.9",1.41764936921396e-06
"232","US National","1 wk ahead","Bin","percent","2.9","3",1.96112945050635e-07
"233","US National","1 wk ahead","Bin","percent","3","3.1",2.42887574178553e-08
"234","US National","1 wk ahead","Bin","percent","3.1","3.2",2.71788758588616e-09
"235","US National","1 wk ahead","Bin","percent","3.2","3.3",2.77079450271675e-10
"236","US National","1 wk ahead","Bin","percent","3.3","3.4",2.59315536908392e-11
"237","US National","1 wk ahead","Bin","percent","3.4","3.5",2.24347544351905e-12
"238","US National","1 wk ahead","Bin","percent","3.5","3.6",1.8058676837398e-13
"239","US National","1 wk ahead","Bin","percent","3.6","3.7",1.35933690239455e-14
"240","US National","1 wk ahead","Bin","percent","3.7","3.8",9.49257613404016e-16
"241","US National","1 wk ahead","Bin","percent","3.8","3.9",7.59406090723212e-17
"242","US National","1 wk ahead","Bin","percent","3.9","4",0
"243","US National","1 wk ahead","Bin","percent","4","4.1",0
"244","US National","1 wk ahead","Bin","percent","4.1","4.2",0
"245","US National","1 wk ahead","Bin","percent","4.2","4.3",0
"246","US National","1 wk ahead","Bin","percent","4.3","4.4",0
"247","US National","1 wk ahead","Bin","percent","4.4","4.5",0
"248","US National","1 wk ahead","Bin","percent","4.5","4.6",0
"249","US National","1 wk ahead","Bin","percent","4.6","4.7",0
"250","US National","1 wk ahead","Bin","percent","4.7","4.8",0
"251","US National","1 wk ahead","Bin","percent","4.8","4.9",0
"252","US National","1 wk ahead","Bin","percent","4.9","5",0
"253","US National","1 wk ahead","Bin","percent","5","5.1",0
"254","US National","1 wk ahead","Bin","percent","5.1","5.2",0
"255","US National","1 wk ahead","Bin","percent","5.2","5.3",0
"256","US National","1 wk ahead","Bin","percent","5.3","5.4",0
"257","US National","1 wk ahead","Bin","percent","5.4","5.5",0
"258","US National","1 wk ahead","Bin","percent","5.5","5.6",0
"259","US National","1 wk ahead","Bin","percent","5.6","5.7",0
"260","US National","1 wk ahead","Bin","percent","5.7","5.8",0
"261","US National","1 wk ahead","Bin","percent","5.8","5.9",0
"262","US National","1 wk ahead","Bin","percent","5.9","6",0
"263","US National","1 wk ahead","Bin","percent","6","6.1",0
"264","US National","1 wk ahead","Bin","percent","6.1","6.2",0
"265","US National","1 wk ahead","Bin","percent","6.2","6.3",0
"266","US National","1 wk ahead","Bin","percent","6.3","6.4",0
"267","US National","1 wk ahead","Bin","percent","6.4","6.5",0
"268","US National","1 wk ahead","Bin","percent","6.5","6.6",0
"269","US National","1 wk ahead","Bin","percent","6.6","6.7",0
"270","US National","1 wk ahead","Bin","percent","6.7","6.8",0
"271","US National","1 wk ahead","Bin","percent","6.8","6.9",0
"272","US National","1 wk ahead","Bin","percent","6.9","7",0
"273","US National","1 wk ahead","Bin","percent","7","7.1",0
"274","US National","1 wk ahead","Bin","percent","7.1","7.2",0
"275","US National","1 wk ahead","Bin","percent","7.2","7.3",0
"276","US National","1 wk ahead","Bin","percent","7.3","7.4",0
"277","US National","1 wk ahead","Bin","percent","7.4","7.5",0
"278","US National","1 wk ahead","Bin","percent","7.5","7.6",0
"279","US National","1 wk ahead","Bin","percent","7.6","7.7",0
"280","US National","1 wk ahead","Bin","percent","7.7","7.8",0
"281","US National","1 wk ahead","Bin","percent","7.8","7.9",0
"282","US National","1 wk ahead","Bin","percent","7.9","8",0
"283","US National","1 wk ahead","Bin","percent","8","8.1",0
"284","US National","1 wk ahead","Bin","percent","8.1","8.2",0
"285","US National","1 wk ahead","Bin","percent","8.2","8.3",0
"286","US National","1 wk ahead","Bin","percent","8.3","8.4",0
"287","US National","1 wk ahead","Bin","percent","8.4","8.5",0
"288","US National","1 wk ahead","Bin","percent","8.5","8.6",0
"289","US National","1 wk ahead","Bin","percent","8.6","8.7",0
"290","US National","1 wk ahead","Bin","percent","8.7","8.8",0
"291","US National","1 wk ahead","Bin","percent","8.8","8.9",0
"292","US National","1 wk ahead","Bin","percent","8.9","9",0
"293","US National","1 wk ahead","Bin","percent","9","9.1",0
"294","US National","1 wk ahead","Bin","percent","9.1","9.2",0
"295","US National","1 wk ahead","Bin","percent","9.2","9.3",0
"296","US National","1 wk ahead","Bin","percent","9.3","9.4",0
"297","US National","1 wk ahead","Bin","percent","9.4","9.5",0
"298","US National","1 wk ahead","Bin","percent","9.5","9.6",0
"299","US National","1 wk ahead","Bin","percent","9.6","9.7",0
"300","US National","1 wk ahead","Bin","percent","9.7","9.8",0
"301","US National","1 wk ahead","Bin","percent","9.8","9.9",0
"302","US National","1 wk ahead","Bin","percent","9.9","10",0
"303","US National","1 wk ahead","Bin","percent","10","10.1",0
"304","US National","1 wk ahead","Bin","percent","10.1","10.2",0
"305","US National","1 wk ahead","Bin","percent","10.2","10.3",0
"306","US National","1 wk ahead","Bin","percent","10.3","10.4",0
"307","US National","1 wk ahead","Bin","percent","10.4","10.5",0
"308","US National","1 wk ahead","Bin","percent","10.5","10.6",0
"309","US National","1 wk ahead","Bin","percent","10.6","10.7",0
"310","US National","1 wk ahead","Bin","percent","10.7","10.8",0
"311","US National","1 wk ahead","Bin","percent","10.8","10.9",0
"312","US National","1 wk ahead","Bin","percent","10.9","11",0
"313","US National","1 wk ahead","Bin","percent","11","11.1",0
"314","US National","1 wk ahead","Bin","percent","11.1","11.2",0
"315","US National","1 wk ahead","Bin","percent","11.2","11.3",0
"316","US National","1 wk ahead","Bin","percent","11.3","11.4",0
"317","US National","1 wk ahead","Bin","percent","11.4","11.5",0
"318","US National","1 wk ahead","Bin","percent","11.5","11.6",0
"319","US National","1 wk ahead","Bin","percent","11.6","11.7",0
"320","US National","1 wk ahead","Bin","percent","11.7","11.8",0
"321","US National","1 wk ahead","Bin","percent","11.8","11.9",0
"322","US National","1 wk ahead","Bin","percent","11.9","12",0
"323","US National","1 wk ahead","Bin","percent","12","12.1",0
"324","US National","1 wk ahead","Bin","percent","12.1","12.2",0
"325","US National","1 wk ahead","Bin","percent","12.2","12.3",0
"326","US National","1 wk ahead","Bin","percent","12.3","12.4",0
"327","US National","1 wk ahead","Bin","percent","12.4","12.5",0
"328","US National","1 wk ahead","Bin","percent","12.5","12.6",0
"329","US National","1 wk ahead","Bin","percent","12.6","12.7",0
"330","US National","1 wk ahead","Bin","percent","12.7","12.8",0
"331","US National","1 wk ahead","Bin","percent","12.8","12.9",0
"332","US National","1 wk ahead","Bin","percent","12.9","13",0
"333","US National","1 wk ahead","Bin","percent","13","100",0
"334","US National","2 wk ahead","Point","percent",NA,NA,2.02108417863974
"335","US National","2 wk ahead","Bin","percent","0","0.1",1.03975662704732e-19
"336","US National","2 wk ahead","Bin","percent","0.1","0.2",6.0622603239433e-17
"337","US National","2 wk ahead","Bin","percent","0.2","0.3",1.31706549712293e-14
"338","US National","2 wk ahead","Bin","percent","0.3","0.4",1.27652851507666e-12
"339","US National","2 wk ahead","Bin","percent","0.4","0.5",6.33500162874902e-11
"340","US National","2 wk ahead","Bin","percent","0.5","0.6",1.79239863327123e-09
"341","US National","2 wk ahead","Bin","percent","0.6","0.7",3.14867895552608e-08
"342","US National","2 wk ahead","Bin","percent","0.7","0.8",3.67851574883233e-07
"343","US National","2 wk ahead","Bin","percent","0.8","0.9",3.02387937244534e-06
"344","US National","2 wk ahead","Bin","percent","0.9","1",1.83601397160122e-05
"345","US National","2 wk ahead","Bin","percent","1","1.1",8.64220716453743e-05
"346","US National","2 wk ahead","Bin","percent","1.1","1.2",0.000335166656814752
"347","US National","2 wk ahead","Bin","percent","1.2","1.3",0.00115527077245595
"348","US National","2 wk ahead","Bin","percent","1.3","1.4",0.00372396549061751
"349","US National","2 wk ahead","Bin","percent","1.4","1.5",0.0109926698845714
"350","US National","2 wk ahead","Bin","percent","1.5","1.6",0.027915857715236
"351","US National","2 wk ahead","Bin","percent","1.6","1.7",0.0582499498345735
"352","US National","2 wk ahead","Bin","percent","1.7","1.8",0.0983509802692628
"353","US National","2 wk ahead","Bin","percent","1.8","1.9",0.135006927746413
"354","US National","2 wk ahead","Bin","percent","1.9","2",0.152917324768043
"355","US National","2 wk ahead","Bin","percent","2","2.1",0.145808160972062
"356","US National","2 wk ahead","Bin","percent","2.1","2.2",0.119875168348563
"357","US National","2 wk ahead","Bin","percent","2.2","2.3",0.0874173335127453
"358","US National","2 wk ahead","Bin","percent","2.3","2.4",0.0584603527301987
"359","US National","2 wk ahead","Bin","percent","2.4","2.5",0.0371938282291654
"360","US National","2 wk ahead","Bin","percent","2.5","2.6",0.0232869010348829
"361","US National","2 wk ahead","Bin","percent","2.6","2.7",0.0146592329885407
"362","US National","2 wk ahead","Bin","percent","2.7","2.8",0.00931775630778676
"363","US National","2 wk ahead","Bin","percent","2.8","2.9",0.00593086915448632
"364","US National","2 wk ahead","Bin","percent","2.9","3",0.00373662295111349
"365","US National","2 wk ahead","Bin","percent","3","3.1",0.00230943505715659
"366","US National","2 wk ahead","Bin","percent","3.1","3.2",0.00139344751458369
"367","US National","2 wk ahead","Bin","percent","3.2","3.3",0.000819425089408465
"368","US National","2 wk ahead","Bin","percent","3.3","3.4",0.000469737042097023
"369","US National","2 wk ahead","Bin","percent","3.4","3.5",0.000262798118458973
"370","US National","2 wk ahead","Bin","percent","3.5","3.6",0.000143703340106986
"371","US National","2 wk ahead","Bin","percent","3.6","3.7",7.69276275325137e-05
"372","US National","2 wk ahead","Bin","percent","3.7","3.8",4.03781123793882e-05
"373","US National","2 wk ahead","Bin","percent","3.8","3.9",2.08112153468366e-05
"374","US National","2 wk ahead","Bin","percent","3.9","4",1.05470787151732e-05
"375","US National","2 wk ahead","Bin","percent","4","4.1",5.26261856711136e-06
"376","US National","2 wk ahead","Bin","percent","4.1","4.2",2.58831276635235e-06
"377","US National","2 wk ahead","Bin","percent","4.2","4.3",1.25617065018086e-06
"378","US National","2 wk ahead","Bin","percent","4.3","4.4",6.02191032223422e-07
"379","US National","2 wk ahead","Bin","percent","4.4","4.5",2.85415953415398e-07
"380","US National","2 wk ahead","Bin","percent","4.5","4.6",1.33861491242993e-07
"381","US National","2 wk ahead","Bin","percent","4.6","4.7",6.21748442155081e-08
"382","US National","2 wk ahead","Bin","percent","4.7","4.8",2.86206077069387e-08
"383","US National","2 wk ahead","Bin","percent","4.8","4.9",1.30661869210283e-08
"384","US National","2 wk ahead","Bin","percent","4.9","5",5.91976782096138e-09
"385","US National","2 wk ahead","Bin","percent","5","5.1",2.66321968317851e-09
"386","US National","2 wk ahead","Bin","percent","5.1","5.2",1.19041625117458e-09
"387","US National","2 wk ahead","Bin","percent","5.2","5.3",5.28940726559393e-10
"388","US National","2 wk ahead","Bin","percent","5.3","5.4",2.33745377808006e-10
"389","US National","2 wk ahead","Bin","percent","5.4","5.5",1.02779117317607e-10
"390","US National","2 wk ahead","Bin","percent","5.5","5.6",4.49859563027572e-11
"391","US National","2 wk ahead","Bin","percent","5.6","5.7",1.96079650975344e-11
"392","US National","2 wk ahead","Bin","percent","5.7","5.8",8.51397872658861e-12
"393","US National","2 wk ahead","Bin","percent","5.8","5.9",3.6841119481977e-12
"394","US National","2 wk ahead","Bin","percent","5.9","6",1.58916354375647e-12
"395","US National","2 wk ahead","Bin","percent","6","6.1",6.83546915740253e-13
