"","Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"49","US National","Season peak week","Bin","week","52","53",NA
"50","US National","Season peak week","Bin","week","1","2",NA
"51","US National","Season peak week","Bin","week","2","3",NA
"52","US National","Season peak week","Bin","week","3","4",NA
"53","US National","Season peak week","Bin","week","4","5",NA
"54","US National","Season peak week","Bin","week","5","6",NA
"55","US National","Season peak week","Bin","week","6","7",NA
"56","US National","Season peak week","Bin","week","7","8",NA
"57","US National","Season peak week","Bin","week","8","9",NA
"58","US National","Season peak week","Bin","week","9","10",NA
"59","US National","Season peak week","Bin","week","10","11",NA
"60","US National","Season peak week","Bin","week","11","12",NA
"61","US National","Season peak week","Bin","week","12","13",NA
"62","US National","Season peak week","Bin","week","13","14",NA
"63","US National","Season peak week","Bin","week","14","15",NA
"64","US National","Season peak week","Bin","week","15","16",NA
"65","US National","Season peak week","Bin","week","16","17",NA
"66","US National","Season peak week","Bin","week","17","18",NA
"67","US National","Season peak week","Bin","week","18","19",NA
"68","US National","Season peak week","Bin","week","19","20",NA
"69","US National","Season peak week","Bin","week","20","21",NA
"70","US National","Season peak percentage","Point","percent",NA,NA,NA
"71","US National","Season peak percentage","Bin","percent","0","0.1",NA
"72","US National","Season peak percentage","Bin","percent","0.1","0.2",NA
"73","US National","Season peak percentage","Bin","percent","0.2","0.3",NA
"74","US National","Season peak percentage","Bin","percent","0.3","0.4",NA
"75","US National","Season peak percentage","Bin","percent","0.4","0.5",NA
"76","US National","Season peak percentage","Bin","percent","0.5","0.6",NA
"77","US National","Season peak percentage","Bin","percent","0.6","0.7",NA
"78","US National","Season peak percentage","Bin","percent","0.7","0.8",NA
"79","US National","Season peak percentage","Bin","percent","0.8","0.9",NA
"80","US National","Season peak percentage","Bin","percent","0.9","1",NA
"81","US National","Season peak percentage","Bin","percent","1","1.1",NA
"82","US National","Season peak percentage","Bin","percent","1.1","1.2",NA
"83","US National","Season peak percentage","Bin","percent","1.2","1.3",NA
"84","US National","Season peak percentage","Bin","percent","1.3","1.4",NA
"85","US National","Season peak percentage","Bin","percent","1.4","1.5",NA
"86","US National","Season peak percentage","Bin","percent","1.5","1.6",NA
"87","US National","Season peak percentage","Bin","percent","1.6","1.7",NA
"88","US National","Season peak percentage","Bin","percent","1.7","1.8",NA
"89","US National","Season peak percentage","Bin","percent","1.8","1.9",NA
"90","US National","Season peak percentage","Bin","percent","1.9","2",NA
"91","US National","Season peak percentage","Bin","percent","2","2.1",NA
"92","US National","Season peak percentage","Bin","percent","2.1","2.2",NA
"93","US National","Season peak percentage","Bin","percent","2.2","2.3",NA
"94","US National","Season peak percentage","Bin","percent","2.3","2.4",NA
"95","US National","Season peak percentage","Bin","percent","2.4","2.5",NA
"96","US National","Season peak percentage","Bin","percent","2.5","2.6",NA
"97","US National","Season peak percentage","Bin","percent","2.6","2.7",NA
"98","US National","Season peak percentage","Bin","percent","2.7","2.8",NA
"99","US National","Season peak percentage","Bin","percent","2.8","2.9",NA
"100","US National","Season peak percentage","Bin","percent","2.9","3",NA
"101","US National","Season peak percentage","Bin","percent","3","3.1",NA
"102","US National","Season peak percentage","Bin","percent","3.1","3.2",NA
"103","US National","Season peak percentage","Bin","percent","3.2","3.3",NA
"104","US National","Season peak percentage","Bin","percent","3.3","3.4",NA
"105","US National","Season peak percentage","Bin","percent","3.4","3.5",NA
"106","US National","Season peak percentage","Bin","percent","3.5","3.6",NA
"107","US National","Season peak percentage","Bin","percent","3.6","3.7",NA
"108","US National","Season peak percentage","Bin","percent","3.7","3.8",NA
"109","US National","Season peak percentage","Bin","percent","3.8","3.9",NA
"110","US National","Season peak percentage","Bin","percent","3.9","4",NA
"111","US National","Season peak percentage","Bin","percent","4","4.1",NA
"112","US National","Season peak percentage","Bin","percent","4.1","4.2",NA
"113","US National","Season peak percentage","Bin","percent","4.2","4.3",NA
"114","US National","Season peak percentage","Bin","percent","4.3","4.4",NA
"115","US National","Season peak percentage","Bin","percent","4.4","4.5",NA
"116","US National","Season peak percentage","Bin","percent","4.5","4.6",NA
"117","US National","Season peak percentage","Bin","percent","4.6","4.7",NA
"118","US National","Season peak percentage","Bin","percent","4.7","4.8",NA
"119","US National","Season peak percentage","Bin","percent","4.8","4.9",NA
"120","US National","Season peak percentage","Bin","percent","4.9","5",NA
"121","US National","Season peak percentage","Bin","percent","5","5.1",NA
"122","US National","Season peak percentage","Bin","percent","5.1","5.2",NA
"123","US National","Season peak percentage","Bin","percent","5.2","5.3",NA
"124","US National","Season peak percentage","Bin","percent","5.3","5.4",NA
"125","US National","Season peak percentage","Bin","percent","5.4","5.5",NA
"126","US National","Season peak percentage","Bin","percent","5.5","5.6",NA
"127","US National","Season peak percentage","Bin","percent","5.6","5.7",NA
"128","US National","Season peak percentage","Bin","percent","5.7","5.8",NA
"129","US National","Season peak percentage","Bin","percent","5.8","5.9",NA
"130","US National","Season peak percentage","Bin","percent","5.9","6",NA
"131","US National","Season peak percentage","Bin","percent","6","6.1",NA
"132","US National","Season peak percentage","Bin","percent","6.1","6.2",NA
"133","US National","Season peak percentage","Bin","percent","6.2","6.3",NA
"134","US National","Season peak percentage","Bin","percent","6.3","6.4",NA
"135","US National","Season peak percentage","Bin","percent","6.4","6.5",NA
"136","US National","Season peak percentage","Bin","percent","6.5","6.6",NA
"137","US National","Season peak percentage","Bin","percent","6.6","6.7",NA
"138","US National","Season peak percentage","Bin","percent","6.7","6.8",NA
"139","US National","Season peak percentage","Bin","percent","6.8","6.9",NA
"140","US National","Season peak percentage","Bin","percent","6.9","7",NA
"141","US National","Season peak percentage","Bin","percent","7","7.1",NA
"142","US National","Season peak percentage","Bin","percent","7.1","7.2",NA
"143","US National","Season peak percentage","Bin","percent","7.2","7.3",NA
"144","US National","Season peak percentage","Bin","percent","7.3","7.4",NA
"145","US National","Season peak percentage","Bin","percent","7.4","7.5",NA
"146","US National","Season peak percentage","Bin","percent","7.5","7.6",NA
"147","US National","Season peak percentage","Bin","percent","7.6","7.7",NA
"148","US National","Season peak percentage","Bin","percent","7.7","7.8",NA
"149","US National","Season peak percentage","Bin","percent","7.8","7.9",NA
"150","US National","Season peak percentage","Bin","percent","7.9","8",NA
"151","US National","Season peak percentage","Bin","percent","8","8.1",NA
"152","US National","Season peak percentage","Bin","percent","8.1","8.2",NA
"153","US National","Season peak percentage","Bin","percent","8.2","8.3",NA
"154","US National","Season peak percentage","Bin","percent","8.3","8.4",NA
"155","US National","Season peak percentage","Bin","percent","8.4","8.5",NA
"156","US National","Season peak percentage","Bin","percent","8.5","8.6",NA
"157","US National","Season peak percentage","Bin","percent","8.6","8.7",NA
"158","US National","Season peak percentage","Bin","percent","8.7","8.8",NA
"159","US National","Season peak percentage","Bin","percent","8.8","8.9",NA
"160","US National","Season peak percentage","Bin","percent","8.9","9",NA
"161","US National","Season peak percentage","Bin","percent","9","9.1",NA
"162","US National","Season peak percentage","Bin","percent","9.1","9.2",NA
"163","US National","Season peak percentage","Bin","percent","9.2","9.3",NA
"164","US National","Season peak percentage","Bin","percent","9.3","9.4",NA
"165","US National","Season peak percentage","Bin","percent","9.4","9.5",NA
"166","US National","Season peak percentage","Bin","percent","9.5","9.6",NA
"167","US National","Season peak percentage","Bin","percent","9.6","9.7",NA
"168","US National","Season peak percentage","Bin","percent","9.7","9.8",NA
"169","US National","Season peak percentage","Bin","percent","9.8","9.9",NA
"170","US National","Season peak percentage","Bin","percent","9.9","10",NA
"171","US National","Season peak percentage","Bin","percent","10","10.1",NA
"172","US National","Season peak percentage","Bin","percent","10.1","10.2",NA
"173","US National","Season peak percentage","Bin","percent","10.2","10.3",NA
"174","US National","Season peak percentage","Bin","percent","10.3","10.4",NA
"175","US National","Season peak percentage","Bin","percent","10.4","10.5",NA
"176","US National","Season peak percentage","Bin","percent","10.5","10.6",NA
"177","US National","Season peak percentage","Bin","percent","10.6","10.7",NA
"178","US National","Season peak percentage","Bin","percent","10.7","10.8",NA
"179","US National","Season peak percentage","Bin","percent","10.8","10.9",NA
"180","US National","Season peak percentage","Bin","percent","10.9","11",NA
"181","US National","Season peak percentage","Bin","percent","11","11.1",NA
"182","US National","Season peak percentage","Bin","percent","11.1","11.2",NA
"183","US National","Season peak percentage","Bin","percent","11.2","11.3",NA
"184","US National","Season peak percentage","Bin","percent","11.3","11.4",NA
"185","US National","Season peak percentage","Bin","percent","11.4","11.5",NA
"186","US National","Season peak percentage","Bin","percent","11.5","11.6",NA
"187","US National","Season peak percentage","Bin","percent","11.6","11.7",NA
"188","US National","Season peak percentage","Bin","percent","11.7","11.8",NA
"189","US National","Season peak percentage","Bin","percent","11.8","11.9",NA
"190","US National","Season peak percentage","Bin","percent","11.9","12",NA
"191","US National","Season peak percentage","Bin","percent","12","12.1",NA
"192","US National","Season peak percentage","Bin","percent","12.1","12.2",NA
"193","US National","Season peak percentage","Bin","percent","12.2","12.3",NA
"194","US National","Season peak percentage","Bin","percent","12.3","12.4",NA
"195","US National","Season peak percentage","Bin","percent","12.4","12.5",NA
"196","US National","Season peak percentage","Bin","percent","12.5","12.6",NA
"197","US National","Season peak percentage","Bin","percent","12.6","12.7",NA
"198","US National","Season peak percentage","Bin","percent","12.7","12.8",NA
"199","US National","Season peak percentage","Bin","percent","12.8","12.9",NA
"200","US National","Season peak percentage","Bin","percent","12.9","13",NA
"201","US National","Season peak percentage","Bin","percent","13","100",NA
"202","US National","1 wk ahead","Point","percent",NA,NA,1.03979266584098
"203","US National","1 wk ahead","Bin","percent","0","0.1",1.04947280892541e-32
"204","US National","1 wk ahead","Bin","percent","0.1","0.2",1.19151575599199e-24
"205","US National","1 wk ahead","Bin","percent","0.2","0.3",2.6690195926533e-18
"206","US National","1 wk ahead","Bin","percent","0.3","0.4",2.53162774917273e-13
"207","US National","1 wk ahead","Bin","percent","0.4","0.5",1.82338369594071e-09
"208","US National","1 wk ahead","Bin","percent","0.5","0.6",1.57316647059133e-06
"209","US National","1 wk ahead","Bin","percent","0.6","0.7",0.000233463009619242
"210","US National","1 wk ahead","Bin","percent","0.7","0.8",0.00795710400838646
"211","US National","1 wk ahead","Bin","percent","0.8","0.9",0.0783189992916007
"212","US National","1 wk ahead","Bin","percent","0.9","1",0.266162965873859
"213","US National","1 wk ahead","Bin","percent","1","1.1",0.359003921619442
"214","US National","1 wk ahead","Bin","percent","1.1","1.2",0.214949891911181
"215","US National","1 wk ahead","Bin","percent","1.2","1.3",0.0627682765475714
"216","US National","1 wk ahead","Bin","percent","1.3","1.4",0.00970289622924203
"217","US National","1 wk ahead","Bin","percent","1.4","1.5",0.000853709631164823
"218","US National","1 wk ahead","Bin","percent","1.5","1.6",4.55950571298658e-05
"219","US National","1 wk ahead","Bin","percent","1.6","1.7",1.56492592351398e-06
"220","US National","1 wk ahead","Bin","percent","1.7","1.8",3.63024614813412e-08
"221","US National","1 wk ahead","Bin","percent","1.8","1.9",5.95076432574615e-10
"222","US National","1 wk ahead","Bin","percent","1.9","2",7.16893211460956e-12
"223","US National","1 wk ahead","Bin","percent","2","2.1",6.57252030578093e-14
"224","US National","1 wk ahead","Bin","percent","2.1","2.2",4.44089209850063e-16
"225","US National","1 wk ahead","Bin","percent","2.2","2.3",0
"226","US National","1 wk ahead","Bin","percent","2.3","2.4",0
"227","US National","1 wk ahead","Bin","percent","2.4","2.5",0
"228","US National","1 wk ahead","Bin","percent","2.5","2.6",0
"229","US National","1 wk ahead","Bin","percent","2.6","2.7",0
"230","US National","1 wk ahead","Bin","percent","2.7","2.8",0
"231","US National","1 wk ahead","Bin","percent","2.8","2.9",0
"232","US National","1 wk ahead","Bin","percent","2.9","3",0
"233","US National","1 wk ahead","Bin","percent","3","3.1",0
"234","US National","1 wk ahead","Bin","percent","3.1","3.2",0
"235","US National","1 wk ahead","Bin","percent","3.2","3.3",0
"236","US National","1 wk ahead","Bin","percent","3.3","3.4",0
"237","US National","1 wk ahead","Bin","percent","3.4","3.5",0
"238","US National","1 wk ahead","Bin","percent","3.5","3.6",0
"239","US National","1 wk ahead","Bin","percent","3.6","3.7",0
"240","US National","1 wk ahead","Bin","percent","3.7","3.8",0
"241","US National","1 wk ahead","Bin","percent","3.8","3.9",0
"242","US National","1 wk ahead","Bin","percent","3.9","4",0
"243","US National","1 wk ahead","Bin","percent","4","4.1",0
"244","US National","1 wk ahead","Bin","percent","4.1","4.2",0
"245","US National","1 wk ahead","Bin","percent","4.2","4.3",0
"246","US National","1 wk ahead","Bin","percent","4.3","4.4",0
"247","US National","1 wk ahead","Bin","percent","4.4","4.5",0
"248","US National","1 wk ahead","Bin","percent","4.5","4.6",0
"249","US National","1 wk ahead","Bin","percent","4.6","4.7",0
"250","US National","1 wk ahead","Bin","percent","4.7","4.8",0
"251","US National","1 wk ahead","Bin","percent","4.8","4.9",0
"252","US National","1 wk ahead","Bin","percent","4.9","5",0
"253","US National","1 wk ahead","Bin","percent","5","5.1",0
"254","US National","1 wk ahead","Bin","percent","5.1","5.2",0
"255","US National","1 wk ahead","Bin","percent","5.2","5.3",0
"256","US National","1 wk ahead","Bin","percent","5.3","5.4",0
"257","US National","1 wk ahead","Bin","percent","5.4","5.5",0
"258","US National","1 wk ahead","Bin","percent","5.5","5.6",0
"259","US National","1 wk ahead","Bin","percent","5.6","5.7",0
"260","US National","1 wk ahead","Bin","percent","5.7","5.8",0
"261","US National","1 wk ahead","Bin","percent","5.8","5.9",0
"262","US National","1 wk ahead","Bin","percent","5.9","6",0
"263","US National","1 wk ahead","Bin","percent","6","6.1",0
"264","US National","1 wk ahead","Bin","percent","6.1","6.2",0
"265","US National","1 wk ahead","Bin","percent","6.2","6.3",0
"266","US National","1 wk ahead","Bin","percent","6.3","6.4",0
"267","US National","1 wk ahead","Bin","percent","6.4","6.5",0
"268","US National","1 wk ahead","Bin","percent","6.5","6.6",0
"269","US National","1 wk ahead","Bin","percent","6.6","6.7",0
"270","US National","1 wk ahead","Bin","percent","6.7","6.8",0
"271","US National","1 wk ahead","Bin","percent","6.8","6.9",0
"272","US National","1 wk ahead","Bin","percent","6.9","7",0
"273","US National","1 wk ahead","Bin","percent","7","7.1",0
"274","US National","1 wk ahead","Bin","percent","7.1","7.2",0
"275","US National","1 wk ahead","Bin","percent","7.2","7.3",0
"276","US National","1 wk ahead","Bin","percent","7.3","7.4",0
"277","US National","1 wk ahead","Bin","percent","7.4","7.5",0
"278","US National","1 wk ahead","Bin","percent","7.5","7.6",0
"279","US National","1 wk ahead","Bin","percent","7.6","7.7",0
"280","US National","1 wk ahead","Bin","percent","7.7","7.8",0
"281","US National","1 wk ahead","Bin","percent","7.8","7.9",0
"282","US National","1 wk ahead","Bin","percent","7.9","8",0
"283","US National","1 wk ahead","Bin","percent","8","8.1",0
"284","US National","1 wk ahead","Bin","percent","8.1","8.2",0
"285","US National","1 wk ahead","Bin","percent","8.2","8.3",0
"286","US National","1 wk ahead","Bin","percent","8.3","8.4",0
"287","US National","1 wk ahead","Bin","percent","8.4","8.5",0
"288","US National","1 wk ahead","Bin","percent","8.5","8.6",0
"289","US National","1 wk ahead","Bin","percent","8.6","8.7",0
"290","US National","1 wk ahead","Bin","percent","8.7","8.8",0
"291","US National","1 wk ahead","Bin","percent","8.8","8.9",0
"292","US National","1 wk ahead","Bin","percent","8.9","9",0
"293","US National","1 wk ahead","Bin","percent","9","9.1",0
"294","US National","1 wk ahead","Bin","percent","9.1","9.2",0
"295","US National","1 wk ahead","Bin","percent","9.2","9.3",0
"296","US National","1 wk ahead","Bin","percent","9.3","9.4",0
"297","US National","1 wk ahead","Bin","percent","9.4","9.5",0
"298","US National","1 wk ahead","Bin","percent","9.5","9.6",0
"299","US National","1 wk ahead","Bin","percent","9.6","9.7",0
"300","US National","1 wk ahead","Bin","percent","9.7","9.8",0
"301","US National","1 wk ahead","Bin","percent","9.8","9.9",0
"302","US National","1 wk ahead","Bin","percent","9.9","10",0
"303","US National","1 wk ahead","Bin","percent","10","10.1",0
"304","US National","1 wk ahead","Bin","percent","10.1","10.2",0
"305","US National","1 wk ahead","Bin","percent","10.2","10.3",0
"306","US National","1 wk ahead","Bin","percent","10.3","10.4",0
"307","US National","1 wk ahead","Bin","percent","10.4","10.5",0
"308","US National","1 wk ahead","Bin","percent","10.5","10.6",0
"309","US National","1 wk ahead","Bin","percent","10.6","10.7",0
"310","US National","1 wk ahead","Bin","percent","10.7","10.8",0
"311","US National","1 wk ahead","Bin","percent","10.8","10.9",0
"312","US National","1 wk ahead","Bin","percent","10.9","11",0
"313","US National","1 wk ahead","Bin","percent","11","11.1",0
"314","US National","1 wk ahead","Bin","percent","11.1","11.2",0
"315","US National","1 wk ahead","Bin","percent","11.2","11.3",0
"316","US National","1 wk ahead","Bin","percent","11.3","11.4",0
"317","US National","1 wk ahead","Bin","percent","11.4","11.5",0
"318","US National","1 wk ahead","Bin","percent","11.5","11.6",0
"319","US National","1 wk ahead","Bin","percent","11.6","11.7",0
"320","US National","1 wk ahead","Bin","percent","11.7","11.8",0
"321","US National","1 wk ahead","Bin","percent","11.8","11.9",0
"322","US National","1 wk ahead","Bin","percent","11.9","12",0
"323","US National","1 wk ahead","Bin","percent","12","12.1",0
"324","US National","1 wk ahead","Bin","percent","12.1","12.2",0
"325","US National","1 wk ahead","Bin","percent","12.2","12.3",0
"326","US National","1 wk ahead","Bin","percent","12.3","12.4",0
"327","US National","1 wk ahead","Bin","percent","12.4","12.5",0
"328","US National","1 wk ahead","Bin","percent","12.5","12.6",0
"329","US National","1 wk ahead","Bin","percent","12.6","12.7",0
"330","US National","1 wk ahead","Bin","percent","12.7","12.8",0
"331","US National","1 wk ahead","Bin","percent","12.8","12.9",0
"332","US National","1 wk ahead","Bin","percent","12.9","13",0
"333","US National","1 wk ahead","Bin","percent","13","100",0
"334","US National","2 wk ahead","Point","percent",NA,NA,1.08011031190252
"335","US National","2 wk ahead","Bin","percent","0","0.1",6.68922289524584e-17
"336","US National","2 wk ahead","Bin","percent","0.1","0.2",4.64272137877172e-13
"337","US National","2 wk ahead","Bin","percent","0.2","0.3",5.24358449769329e-10
"338","US National","2 wk ahead","Bin","percent","0.3","0.4",1.3706571747343e-07
"339","US National","2 wk ahead","Bin","percent","0.4","0.5",1.08350226646884e-05
"340","US National","2 wk ahead","Bin","percent","0.5","0.6",0.00031819857175841
"341","US National","2 wk ahead","Bin","percent","0.6","0.7",0.00407488511970056
"342","US National","2 wk ahead","Bin","percent","0.7","0.8",0.025823735177601
"343","US National","2 wk ahead","Bin","percent","0.8","0.9",0.0896445808672786
"344","US National","2 wk ahead","Bin","percent","0.9","1",0.185222947608379
"345","US National","2 wk ahead","Bin","percent","1","1.1",0.244060937811285
"346","US National","2 wk ahead","Bin","percent","1.1","1.2",0.217351131498929
"347","US National","2 wk ahead","Bin","percent","1.2","1.3",0.137445482537302
"348","US National","2 wk ahead","Bin","percent","1.3","1.4",0.0643818051449184
"349","US National","2 wk ahead","Bin","percent","1.4","1.5",0.0231665713099676
"350","US National","2 wk ahead","Bin","percent","1.5","1.6",0.0066082348947436
"351","US National","2 wk ahead","Bin","percent","1.6","1.7",0.0015356241073361
"352","US National","2 wk ahead","Bin","percent","1.7","1.8",0.00029769814975078
"353","US National","2 wk ahead","Bin","percent","1.8","1.9",4.91549773707911e-05
"354","US National","2 wk ahead","Bin","percent","1.9","2",7.03961930670349e-06
"355","US National","2 wk ahead","Bin","percent","2","2.1",8.8848867696445e-07
"356","US National","2 wk ahead","Bin","percent","2.1","2.2",1.00226058452613e-07
"357","US National","2 wk ahead","Bin","percent","2.2","2.3",1.02312214256273e-08
"358","US National","2 wk ahead","Bin","percent","2.3","2.4",9.55580059525118e-10
"359","US National","2 wk ahead","Bin","percent","2.4","2.5",8.24589285741695e-11
"360","US National","2 wk ahead","Bin","percent","2.5","2.6",6.63158417069099e-12
"361","US National","2 wk ahead","Bin","percent","2.6","2.7",5.00821606408408e-13
"362","US National","2 wk ahead","Bin","percent","2.7","2.8",3.58602036953926e-14
"363","US National","2 wk ahead","Bin","percent","2.8","2.9",2.33146835171283e-15
"364","US National","2 wk ahead","Bin","percent","2.9","3",2.22044604925031e-16
"365","US National","2 wk ahead","Bin","percent","3","3.1",0
"366","US National","2 wk ahead","Bin","percent","3.1","3.2",0
"367","US National","2 wk ahead","Bin","percent","3.2","3.3",0
"368","US National","2 wk ahead","Bin","percent","3.3","3.4",0
"369","US National","2 wk ahead","Bin","percent","3.4","3.5",0
"370","US National","2 wk ahead","Bin","percent","3.5","3.6",0
"371","US National","2 wk ahead","Bin","percent","3.6","3.7",0
"372","US National","2 wk ahead","Bin","percent","3.7","3.8",0
"373","US National","2 wk ahead","Bin","percent","3.8","3.9",0
"374","US National","2 wk ahead","Bin","percent","3.9","4",0
"375","US National","2 wk ahead","Bin","percent","4","4.1",0
"376","US National","2 wk ahead","Bin","percent","4.1","4.2",0
"377","US National","2 wk ahead","Bin","percent","4.2","4.3",0
"378","US National","2 wk ahead","Bin","percent","4.3","4.4",0
"379","US National","2 wk ahead","Bin","percent","4.4","4.5",0
"380","US National","2 wk ahead","Bin","percent","4.5","4.6",0
"381","US National","2 wk ahead","Bin","percent","4.6","4.7",0
"382","US National","2 wk ahead","Bin","percent","4.7","4.8",0
"383","US National","2 wk ahead","Bin","percent","4.8","4.9",0
"384","US National","2 wk ahead","Bin","percent","4.9","5",0
"385","US National","2 wk ahead","Bin","percent","5","5.1",0
"386","US National","2 wk ahead","Bin","percent","5.1","5.2",0
"387","US National","2 wk ahead","Bin","percent","5.2","5.3",0
"388","US National","2 wk ahead","Bin","percent","5.3","5.4",0
"389","US National","2 wk ahead","Bin","percent","5.4","5.5",0
"390","US National","2 wk ahead","Bin","percent","5.5","5.6",0
"391","US National","2 wk ahead","Bin","percent","5.6","5.7",0
"392","US National","2 wk ahead","Bin","percent","5.7","5.8",0
"393","US National","2 wk ahead","Bin","percent","5.8","5.9",0
"394","US National","2 wk ahead","Bin","percent","5.9","6",0
"395","US National","2 wk ahead","Bin","percent","6","6.1",0
"396","US National","2 wk ahead","Bin","percent","6.1","6.2",0
"397","US National","2 wk ahead","Bin","percent","6.2","6.3",0
"398","US National","2 wk ahead","Bin","percent","6.3","6.4",0
"399","US National","2 wk ahead","Bin","percent","6.4","6.5",0
"400","US National","2 wk ahead","Bin","percent","6.5","6.6",0
"401","US National","2 wk ahead","Bin","percent","6.6","6.7",0
"402","US National","2 wk ahead","Bin","percent","6.7","6.8",0
"403","US National","2 wk ahead","Bin","percent","6.8","6.9",0
"404","US National","2 wk ahead","Bin","percent","6.9","7",0
"405","US National","2 wk ahead","Bin","percent","7","7.1",0
"406","US National","2 wk ahead","Bin","percent","7.1","7.2",0
"407","US National","2 wk ahead","Bin","percent","7.2","7.3",0
"408","US National","2 wk ahead","Bin","percent","7.3","7.4",0
"409","US National","2 wk ahead","Bin","percent","7.4","7.5",0
"410","US National","2 wk ahead","Bin","percent","7.5","7.6",0
"411","US National","2 wk ahead","Bin","percent","7.6","7.7",0
"412","US National","2 wk ahead","Bin","percent","7.7","7.8",0
"413","US National","2 wk ahead","Bin","percent","7.8","7.9",0
"414","US National","2 wk ahead","Bin","percent","7.9","8",0
"415","US National","2 wk ahead","Bin","percent","8","8.1",0
"416","US National","2 wk ahead","Bin","percent","8.1","8.2",0
"417","US National","2 wk ahead","Bin","percent","8.2","8.3",0
"418","US National","2 wk ahead","Bin","percent","8.3","8.4",0
"419","US National","2 wk ahead","Bin","percent","8.4","8.5",0
"420","US National","2 wk ahead","Bin","percent","8.5","8.6",0
"421","US National","2 wk ahead","Bin","percent","8.6","8.7",0
"422","US National","2 wk ahead","Bin","percent","8.7","8.8",0
"423","US National","2 wk ahead","Bin","percent","8.8","8.9",0
"424","US National","2 wk ahead","Bin","percent","8.9","9",0
"425","US National","2 wk ahead","Bin","percent","9","9.1",0
"426","US National","2 wk ahead","Bin","percent","9.1","9.2",0
"427","US National","2 wk ahead","Bin","percent","9.2","9.3",0
"428","US National","2 wk ahead","Bin","percent","9.3","9.4",0
"429","US National","2 wk ahead","Bin","percent","9.4","9.5",0
"430","US National","2 wk ahead","Bin","percent","9.5","9.6",0
"431","US National","2 wk ahead","Bin","percent","9.6","9.7",0
"432","US National","2 wk ahead","Bin","percent","9.7","9.8",0
"433","US National","2 wk ahead","Bin","percent","9.8","9.9",0
"434","US National","2 wk ahead","Bin","percent","9.9","10",0
"435","US National","2 wk ahead","Bin","percent","10","10.1",0
"436","US National","2 wk ahead","Bin","percent","10.1","10.2",0
"437","US National","2 wk ahead","Bin","percent","10.2","10.3",0
"438","US National","2 wk ahead","Bin","percent","10.3","10.4",0
"439","US National","2 wk ahead","Bin","percent","10.4","10.5",0
"440","US National","2 wk ahead","Bin","percent","10.5","10.6",0
"441","US National","2 wk ahead","Bin","percent","10.6","10.7",0
"442","US National","2 wk ahead","Bin","percent","10.7","10.8",0
"443","US National","2 wk ahead","Bin","percent","10.8","10.9",0
"444","US National","2 wk ahead","Bin","percent","10.9","11",0
"445","US National","2 wk ahead","Bin","percent","11","11.1",0
"446","US National","2 wk ahead","Bin","percent","11.1","11.2",0
"447","US National","2 wk ahead","Bin","percent","11.2","11.3",0
"448","US National","2 wk ahead","Bin","percent","11.3","11.4",0
"449","US National","2 wk ahead","Bin","percent","11.4","11.5",0
"450","US National","2 wk ahead","Bin","percent","11.5","11.6",0
